STORE ID,VENUE,SUB VENUE,Lat,Lng,Address,CITY,STATE,ZIP
708,Street Non-DT,End Cap,46.9996,-122.9155,575 Trosper Road Sw Suite A,Tumwater,WA,98512
709,Mall,Food Court,42.246,-88.9756,7200 Harrison Ave,Rockford,IL,61112
710,Street Non-DT,In Line,18.2396,-66.0412,Highway Pr 52 Bocanabon,Caguas,PR,725
711,Street Non-DT,End Cap,39.9145,-104.976,901 East 120th Ave. Unit A,Thornton,CO,80233
713,Street Non-DT,In Line,37.3001,-121.7716,4898 San Felipe Rd Suite 140,San Jose,CA,95135
714,Street Non-DT,End Cap,32.8808,-97.102,1301 West Glade Suite 136,Euless,TX,76039
715,Street Non-DT,End Cap,32.8074,-116.9613,131 Broadway Ave. Suite 1,El Cajon,CA,92021
717,Street Non-DT,End Cap,33.7477,-116.9963,2350 West Florida Ave,Hemet,CA,92545
719,Street Non-DT,End Cap,37.2671,-121.8326,171 Branham Lane Suite 7,San Jose,CA,95136
720,Street Non-DT,End Cap,36.1015,-115.2054,4780 W. Tropicana Ave.,Las Vegas,NV,89103
721,Street Non-DT,End Cap,39.6518,-104.8764,9500 East Hampden Ave. #d,Denver,CO,80231
723,Store in Store,Food Court,34.155,-118.2448,561 North Glendale Ave,Glendale,CA,91206
724,Street Non-DT,End Cap,40.2511,-111.6582,1240 N. University Ave,Provo,UT,84604
725,Street Non-DT,End Cap,34.5566,-118.0448,37134 47th Street E.,Palmdale,CA,93552
726,Street Non-DT,Free Standing,34.2013,-118.1939,700 Foothill Blvd.,La Canada Flintridge,CA,91011
727,Street Non-DT,End Cap,33.5752,-117.7244,26841 Aliso Creek Dr Space A,Aliso Viejo,CA,92656
729,Mall,In Line,33.1262,-117.3228,5630 Paseo Del Norte #141,Carlsbad,CA,92008
730,Street Non-DT,End Cap,34.1538,-118.7964,5752 Lindero Canyon,Westlake Village,CA,91361
731,Street Non-DT,Free Standing,33.6925,-117.9892,18575 Beach Blvd.,Huntington Beach,CA,92648
733,Street Non-DT,End Cap,36.8389,-119.6837,1805 Herndon Ave #c,Clovis,CA,93611
734,Street Non-DT,End Cap,37.3317,-121.811,2980 E. Capitol Expressway,San Jose,CA,95148
735,Mall,Food Court,39.0459,-94.358,18813 E. 39th St. S,Independence,MO,64057
737,Street Non-DT,End Cap,35.0837,-114.5971,2840 AZ-95,Bullhead City,AZ,86442
738,Street Non-DT,End Cap,33.2004,-117.2452,20 Main St,Vista,CA,92084
739,Street Non-DT,End Cap,32.8388,-116.9824,9862 Mission Gorge Rd. #g,Santee,CA,92071
740,Street Non-DT,End Cap,41.7578,-111.8206,545 East 1400 North Suite 100,Logan,UT,84341
741,Street Non-DT,End Cap,39.3759,-77.4117,5281 Buckeystown Pike,Frederick,MD,21703
742,Mall,Food Court,44.0686,-123.105,293 Valley River Ctr,Eugene,OR,97401
744,Street Non-DT,End Cap,33.2059,-117.2884,4121 Oceanside Blvd Suite 200,Oceanside,CA,92056
745,Street Non-DT,End Cap,33.8009,-116.3886,34151 Monterey Ave. #105,Rancho Mirage,CA,92270
