,Address,Zip Code,Latitude,Longitude,yelp_rating,price_tag,review_count,business_name
194,"700 Shorter Ave NW, Rome, GA 30165",30165,34.266251000000004,-85.20146899999999,2.5,$$,15.0,red-lobster-rome
195,"1050 Holcomb Bridge Rd, Roswell, GA 30076",30076,34.024504,-84.329538,2.5,$$,144.0,red-lobster-roswell-2
196,"11 W E Montgomery Cross Rd, Savannah, GA 31406",31406,31.998281,-81.12322900000001,2.5,$$,56.0,red-lobster-savannah
197,"2579 Cobb Pkwy SE, Smyrna, GA 30080",30080,33.889744,-84.474448,3.0,$$,92.0,red-lobster-smyrna
198,"4001 GA-78 W, Snellville, GA 30039",30039,33.838521,-84.068975,2.5,$$,75.0,red-lobster-snellville
199,"101 S Virginia Ave, Tifton, GA 31794",31794,31.456896999999998,-83.526753,3.0,$$,16.0,red-lobster-tifton
200,"3937 Lavista Rd, Tucker, GA 30084",30084,33.844738,-84.255662,3.0,$$,106.0,red-lobster-tucker
201,"1179 N St Augustine Rd, Valdosta, GA 31601",31601,30.840422999999998,-83.320841,3.0,$$,22.0,red-lobster-valdosta
202,"1765 Ala Moana Blvd, Honolulu, HI 96815",96815,21.285613,-157.839143,3.0,$$,740.0,red-lobster-honolulu
203,"550 N Milwaukee St, Boise, ID 83704",83704,43.609556,-116.284327,3.5,$$,94.0,red-lobster-boise
204,"212 E Neider Ave, Coeur d'Alene, ID 83815",83815,47.706925,-116.79070800000001,3.5,$$,54.0,red-lobster-coeur-d-alene
205,"2115 Thain Grd, Lewiston, ID 83501",83501,46.399963,-117.00051599999999,3.0,$$,22.0,red-lobster-lewiston
206,"4105 N Yellowstone Hwy, Pocatello, ID 83202",83202,42.907745,-112.466871,3.5,$$,33.0,red-lobster-pocatello
207,"170 E Beltline Pkwy, Alton, IL 62002",62002,38.921077000000004,-90.17331,3.0,$$,7.0,red-lobster-alton-3
208,"1036 N, Illinois Rte 59, Aurora, IL 60504",60504,41.77415,-88.206255,3.5,$$,75.0,red-lobster-aurora-2
209,"391 W Army Trail Rd, Bloomingdale, IL 60108",60108,41.939844,-88.11568199999999,3.5,$$,88.0,red-lobster-bloomingdale
210,"714 S Eldorado Rd, Bloomington, IL 61704",61704,40.471773999999996,-88.951988,3.5,$$,29.0,red-lobster-bloomington-3
